index,study_ID,study_alias,study_accession,study_title,study_type,study_abstract,broker_name,center_name,center_project_name,study_description,related_studies,primary_study,sra_link,study_url_link,xref_link,study_entrez_link,ddbj_link,ena_link,study_attribute,submission_accession,sradb_updated
10,11.0,DRP000011,DRP000011,Comprehensive analysis of cytoplasmic mRNAs in HT29 cell.,Transcriptome Analysis,"Expression profile in HT29 cell exposed to ER stress was attempted. We used            shotgun sequencing method, in which next gene sequencing technology and polysome            analysis were combined.",,UT-MGS,Integrateve Transcriptome Analysis,"We analyzed the mRNA profile in cytoplasm and in polysome during the            endoplasmic reticulum (ER) stress using second generation sequencers. We compared three            time points (0 hr/untreatment control, 4 hr and 16 hr after treatment with 2 ??g/mL ER            stress inducible agent Tunicamycin (Tm)). This is the first time mRNA in ???polysome??? is            analyzed using the next generation sequencers and compared with that of cytoplasm.",,,,,pubmed: 22465528,,,,,DRA000011,2014-12-04 10:48:57
11,12.0,DRP000012,DRP000012,Comprehensive analysis of cytoplasmic mRNAs in HT29 cell at 4hr after treatment            with tunicamycin.,Transcriptome Analysis,"Expression profile in HT29 cell exposed to ER stress was attempted. We used            shotgun sequencing method, in which next gene sequencing technology and polysome            analysis were combined.",,UT-MGS,Integrateve Transcriptome Analysis,"We analyzed the mRNA profile in cytoplasm and in polysome during the            endoplasmic reticulum (ER) stress using second generation sequencers. We compared three            time points (0 hr/untreatment control, 4 hr and 16 hr after treatment with 2 ??g/mL ER            stress inducible agent Tunicamycin (Tm)). This is the first time mRNA in ???polysome??? is            analyzed using the next generation sequencers and compared with that of cytoplasm.",,,,,pubmed: 22465528,,,,,DRA000012,2014-12-04 10:48:57
12,13.0,DRP000013,DRP000013,Comprehensive analysis of cytoplasmic mRNAs in HT29 cell at 16hr after            treatment with tunicamycin.,Transcriptome Analysis,"Expression profile in HT29 cell exposed to ER stress was attempted. We used            shotgun sequencing method, in which next gene sequencing technology and polysome            analysis were combined.",,UT-MGS,Integrateve Transcriptome Analysis,"We analyzed the mRNA profile in cytoplasm and in polysome during the            endoplasmic reticulum (ER) stress using second generation sequencers. We compared three            time points (0 hr/untreatment control, 4 hr and 16 hr after treatment with 2 ??g/mL ER            stress inducible agent Tunicamycin (Tm)). This is the first time mRNA in ???polysome??? is            analyzed using the next generation sequencers and compared with that of cytoplasm.",,,,,pubmed: 22465528,,,,,DRA000013,2014-12-04 10:48:57
13,14.0,DRP000014,DRP000014,Comprehensive analysis of polysomal mRNAs in HT29 cell.,Transcriptome Analysis,"Expression profile in HT29 cell exposed to ER stress was attempted. We used            shotgun sequencing method, in which next gene sequencing technology and polysome            analysis were combined.",,UT-MGS,Integrateve Transcriptome Analysis,"We analyzed the mRNA profile in cytoplasm and in polysome during the            endoplasmic reticulum (ER) stress using second generation sequencers. We compared three            time points (0 hr/untreatment control, 4 hr and 16 hr after treatment with 2 ??g/mL ER            stress inducible agent Tunicamycin (Tm)). This is the first time mRNA in ???polysome??? is            analyzed using the next generation sequencers and compared with that of cytoplasm.",,,,,pubmed: 22465528,,,,,DRA000014,2014-12-04 10:48:57
14,15.0,DRP000015,DRP000015,Comprehensive analysis of polysomal mRNAs in HT29 cell at 4hr after treatment            with tunicamycin.,Transcriptome Analysis,"Expression profile in HT29 cell exposed to ER stress was attempted. We used            shotgun sequencing method, in which next gene sequencing technology and polysome            analysis were combined.",,UT-MGS,Integrateve Transcriptome Analysis,"We analyzed the mRNA profile in cytoplasm and in polysome during the            endoplasmic reticulum (ER) stress using second generation sequencers. We compared three            time points (0 hr/untreatment control, 4 hr and 16 hr after treatment with 2 ??g/mL ER            stress inducible agent Tunicamycin (Tm)). This is the first time mRNA in ???polysome??? is            analyzed using the next generation sequencers and compared with that of cytoplasm.",,,,,pubmed: 22465528,,,,,DRA000015,2014-12-04 10:48:57
15,16.0,DRP000016,DRP000016,Comprehensive analysis of polysomal mRNAs in HT29 cell at 16hr after treatment            with tunicamycin.,Transcriptome Analysis,"Expression profile in HT29 cell exposed to ER stress was attempted. We used            shotgun sequencing method, in which next gene sequencing technology and polysome            analysis were combined.",,UT-MGS,Integrateve Transcriptome Analysis,"We analyzed the mRNA profile in cytoplasm and in polysome during the            endoplasmic reticulum (ER) stress using second generation sequencers. We compared three            time points (0 hr/untreatment control, 4 hr and 16 hr after treatment with 2 ??g/mL ER            stress inducible agent Tunicamycin (Tm)). This is the first time mRNA in ???polysome??? is            analyzed using the next generation sequencers and compared with that of cytoplasm.",,,,,pubmed: 22465528,,,,,DRA000016,2014-12-04 10:48:57
16,17.0,DRP000017,DRP000017,Massive transcriptional start site mapping of Beas2B IL-4 stimulation             cells.,Transcriptome Analysis,This study is massive transcriptional start site mapping of Beas2B IL-4             stimulation cells.,,UT-MGS,Integrative Transcriptome Analysis,Sequencing and analysis of the transcriptional start site of IL-4             stimulation cells.,,,,DBTSS: http://dbtss.hgc.jp/,,,,,,DRA000017,2015-03-06 04:57:15
17,18.0,DRP000018,DRP000018,Massive transcriptional start site mapping of Beas2B IL-4 non-stimulation             cells.,Transcriptome Analysis,This study is massive transcriptional start site mapping of Beas2B IL-4             non-stimulation cells.,,UT-MGS,Integrative Transcriptome Analysis,Sequencing and analysis of the transcriptional start site of IL-4             non-stimulation cells.,,,,DBTSS: http://dbtss.hgc.jp/,,,,,,DRA000018,2015-03-06 04:57:15
18,19.0,DRP000019,DRP000019,Massive transcriptional start site mapping of Beas2B siRNA Stat6 IL-4             stimulation cells.,Transcriptome Analysis,This study is massive transcriptional start site mapping of Beas2B siRNA             Stat6 IL-4 stimulation cells.,,UT-MGS,Integrative Transcriptome Analysis,Sequencing and analysis of the transcriptional start site of Beas2B siRNA             Stat6 IL-4 stimulation cells.,,,,DBTSS: http://dbtss.hgc.jp/,,,,,,DRA000019,2015-03-06 04:57:15
19,20.0,DRP000020,DRP000020,Massive transcriptional start site mapping of Beas2B siRNA Stat6 IL-4             non-stimulation cells.,Transcriptome Analysis,This study is massive transcriptional start site mapping of Beas2B siRNA             Stat6 IL-4 non-stimulation cells.,,UT-MGS,Integrative Transcriptome Analysis,Sequencing and analysis of the transcriptional start site of Beas2B siRNA             Stat6 IL-4 non-stimulation cells.,,,,DBTSS: http://dbtss.hgc.jp/,,,,,,DRA000020,2015-03-06 04:57:15
20,21.0,DRP000021,DRP000021,Massive transcriptional start site mapping of Beas2B siRNA control IL-4             stimulation cells.,Transcriptome Analysis,This study is massive transcriptional start site mapping of Beas2B siRNA             control IL-4 stimulation cells.,,UT-MGS,Integrative Transcriptome Analysis,Sequencing and analysis of the transcriptional start site of Beas2B siRNA             control IL-4 stimulation cells.,,,,DBTSS: http://dbtss.hgc.jp/,,,,,,DRA000021,2015-03-06 04:57:15
21,22.0,DRP000022,DRP000022,Massive transcriptional start site mapping of Beas2B siRNA control IL-4             non-stimulation cells.,Transcriptome Analysis,This study is massive transcriptional start site mapping of Beas2B siRNA             control IL-4 non-stimulation cells.,,UT-MGS,Integrative Transcriptome Analysis,Sequencing and analysis of the transcriptional start site of Beas2B siRNA             control IL-4 non-stimulation cells.,,,,DBTSS: http://dbtss.hgc.jp/,,,,,,DRA000022,2015-03-06 04:57:15
22,23.0,DRP000029,DRP000029,Analysis of somaclonal variation on the genome of regenerated             rice,Whole Genome Sequencing,Whole genome sequence analysis of regenerated rice,,NIAS,Somaclonal variation,"To understand of genomic change for somaclonal variation of rice, genomes             from regenerated plants have been sequenced by illumina Genome Analizer             (Solexa).",,,,,,,,,,DRA000029,2014-12-04 10:48:58
23,24.0,DRP000030,DRP000030,human epigenomics sequencing project of breast cancer and normal cell lines,Other,"Human breast cancer/normal cell lines (HMC18, HMEC, Hs578T, MCF7, MDAMB231, MDAMB453, MRKnu1, SKBR3, T47D)",,KUGSPS,Homo sapiens,Genome-wide analysis of aberrant methylation in human breast cancer cells using methyl-DNA immunoprecipitation combined with high-throughput sequencing.,,,,,pubmed: 20181289,,,,,DRA000030,2015-12-24 21:27:53
24,62641.0,PRJDB2168,DRP002224,A CTD code for RNA polymerase II promotes heterochromatin formation via lncRNA and RNAi,Other,"Some eukaryotic long non-coding RNAs (lncRNAs) regulate chromatin strucuture, but the molecular mechanism remais obscure. In fission yeast pericentromeric heterochromatin, the lncRNA transcribed by RNA polymerase II (RNAPII) co-transcriptionally associates with heterochromatin and assembles the RNA interference (RNAi) machinery to produce siRNA, which promtes the methylation of histone H3 lysine-9 (H3K9), a histone code for heterochromatin formation. The largest subunit of RNAPII has a carboxyl-terminal repeat domain (CTD) containing repeats of the consensus sequence Tyr1-Ser2-Pro3-Thr4-Ser5-Pro6-Ser7, where differential phosphorylation of the residues (CTD codes) coordinates transcription and RNA processing. Here, we found that a phosphorylation of Ser7 directed co-transcriptional association of lncRNA with heterochromatin via the simultaneous binding of a RNA factor, Chp1 to methylated H3K9 and lncRNA. The Chp1-mediated association of lncRNA with chromatin is required for siRNA production and H3K9 methlation. These observations indicate a role for the CTD code in the regulation of histone code by lncRNAs.",,BioProject,A CTD code for RNA polymerase II promotes heterochromatin formation via lncRNA and RNAi,,,,,,,,,,,DRA002146,2015-12-24 21:27:58
25,25.0,DRP000036,DRP000036,Comprehensive identification and characterization of the binding sites of             polymerase II,Transcriptome Analysis,"Comprehensive identification and characterization of the binding sites of             polymerase II in mammalian genes were attempted. We used ChIP-Seq method, in which next             gene sequencing technology and chromatin-immunoprecipitation assay were             combined.",,UT-MGS,Integrateve Transcriptome Analysis,"Although recent studies have revealed that the majority of human genes             are subjected to regulation of alternative promoters (APs), the biological relevance of             this phenomenon remains unclear. In order to understand biological significance of the             presence of divergent transcription initiation events in the respective cell types, it             is indispensable to obtain bird-view of the transcriptome figures at every step of the             gene expression; namely, i) how the genomic structure change to transcriptionally active             form, ii) where the transcription initiation complex is recruited, iii) to what extent             the transcription is activated, iv) what transcripts formed and sorted to what             subcellular fractions. We have recently started multi-faceted use of the Illumina GA to             answer these questions. Integrative analysis produced for respective aspects of the gene             expression regulations revealed the comprehensive figures of the complex human gene             transcriptome for the first time.",,,,DBTSS: http://dbtss.hgc.jp/,,,,,,DRA000036,2014-12-04 10:48:58
26,26.0,DRP000037,DRP000037,Comprehensive identification and characterization of the binding sites of             polymerase II,Transcriptome Analysis,"Comprehensive identification and characterization of the binding sites of             polymerase II in mammalian genes were attempted. We used ChIP-Seq method, in which next             gene sequencing technology and chromatin-immunoprecipitation assay were             combined.",,UT-MGS,Integrateve Transcriptome Analysis,"Although recent studies have revealed that the majority of human genes             are subjected to regulation of alternative promoters (APs), the biological relevance of             this phenomenon remains unclear. In order to understand biological significance of the             presence of divergent transcription initiation events in the respective cell types, it             is indispensable to obtain bird-view of the transcriptome figures at every step of the             gene expression; namely, i) how the genomic structure change to transcriptionally active             form, ii) where the transcription initiation complex is recruited, iii) to what extent             the transcription is activated, iv) what transcripts formed and sorted to what             subcellular fractions. We have recently started multi-faceted use of the Illumina GA to             answer these questions. Integrative analysis produced for respective aspects of the gene             expression regulations revealed the comprehensive figures of the complex human gene             transcriptome for the first time.",,,,DBTSS: http://dbtss.hgc.jp/,,,,,,DRA000037,2014-12-04 10:48:58
27,27.0,DRP000038,DRP000038,Comprehensive identification and characterization of the nucleosome             structure,Transcriptome Analysis,"Comprehensive identification and characterization of the nucleosome             structure in mammalian genes were attempted. We used Nucleosome-Seq method, in which             next gene sequencing technology and micrococcus nuclease digestion assay were             combined.",,UT-MGS,Integrateve Transcriptome Analysis,"Although recent studies have revealed that the majority of human genes             are subjected to regulation of alternative promoters (APs), the biological relevance of             this phenomenon remains unclear. In order to understand biological significance of the             presence of divergent transcription initiation events in the respective cell types, it             is indispensable to obtain bird-view of the transcriptome figures at every step of the             gene expression; namely, i) how the genomic structure change to transcriptionally active             form, ii) where the transcription initiation complex is recruited, iii) to what extent             the transcription is activated, iv) what transcripts formed and sorted to what             subcellular fractions. We have recently started multi-faceted use of the Illumina GA to             answer these questions. Integrative analysis produced for respective aspects of the gene             expression regulations revealed the comprehensive figures of the complex human gene             transcriptome for the first time.",,,,DBTSS: http://dbtss.hgc.jp/,,,,,,DRA000038,2014-12-04 10:48:58
28,28.0,DRP000039,DRP000039,genetic variation detected in 206 klebsiella pneumoniae plasmids,Other,genetic variation detected in 206 klebsiella pneumoniae             plasmids,,WMC,solexa short read sequencing,"We applied a whole assemblage parallel sequencing approach to 206             clinical strains of klebsiella pneumoniae collected from 2002 to 2008 to understand the             genetic variation of multidrug resistance plasmids, and to reveal the dynamic change of             drug resistance over time. First, we sequenced three plasmids (70kb, 94kb, 147kb) from a             clonal strain of K.pneumoniae using Sanger sequencing. Then using Solexa sequencing             technology, we obtained more than 17 million of reads from mixed assemblage plasmids             collected in the 206 clinical strains. A large number of single nucleotide polymorphisms             were identified in these plasmids. Plasmid conjugative transfer genes and antibiotic             resistance genes were more likely to suffer from positive selection, as indicated by the             elevated ratio of nonsynonymous substitutions.",,,,,,,,,,DRA000039,2014-12-04 10:48:58
29,29.0,DRP000040,DRP000040,Comprehensive identification and characterization of the binding sites of STAT6             in STAT6 overexpressed BEAS-2B cells,Transcriptome Analysis,"Comprehensive identification and characterization of the binding sites of             STAT6 in STAT6 overexpressed BEAS-2B cells. We used ChIP-Seq method, in which next gene             sequencing technology and chromatin-immunoprecipitation assay were             combined.",,UT-MGS,Integrateve Transcriptome Analysis,"Although recent studies have revealed that the majority of human genes             are subjected to regulation of alternative promoters (APs), the biological relevance of             this phenomenon remains unclear. In order to understand biological significance of the             presence of divergent transcription initiation events in the respective cell types, it             is indispensable to obtain bird-view of the transcriptome figures at every step of the             gene expression; namely, i) how the genomic structure change to transcriptionally active             form, ii) where the transcription initiation complex is recruited, iii) to what extent             the transcription is activated, iv) what transcripts formed and sorted to what             subcellular fractions. We have recently started multi-faceted use of the Illumina GA to             answer these questions. Integrative analysis produced for respective aspects of the gene             expression regulations revealed the comprehensive figures of the complex human gene             transcriptome for the first time.",,,,DBTSS: http://dbtss.hgc.jp/,,,,,,DRA000040,2015-03-06 04:57:16
30,30.0,DRP000041,DRP000041,Comprehensive identification and characterization of the binding sites of STAT6             in STAT6 overexpressed BEAS-2B cells,Transcriptome Analysis,"Comprehensive identification and characterization of the binding sites of             STAT6 in STAT6 overexpressed BEAS-2B cells. We used ChIP-Seq method, in which next gene             sequencing technology and chromatin-immunoprecipitation assay were             combined.",,UT-MGS,Integrateve Transcriptome Analysis,"Although recent studies have revealed that the majority of human genes             are subjected to regulation of alternative promoters (APs), the biological relevance of             this phenomenon remains unclear. In order to understand biological significance of the             presence of divergent transcription initiation events in the respective cell types, it             is indispensable to obtain bird-view of the transcriptome figures at every step of the             gene expression; namely, i) how the genomic structure change to transcriptionally active             form, ii) where the transcription initiation complex is recruited, iii) to what extent             the transcription is activated, iv) what transcripts formed and sorted to what             subcellular fractions. We have recently started multi-faceted use of the Illumina GA to             answer these questions. Integrative analysis produced for respective aspects of the gene             expression regulations revealed the comprehensive figures of the complex human gene             transcriptome for the first time.",,,,DBTSS: http://dbtss.hgc.jp/,,,,,,DRA000041,2015-03-06 04:57:16
31,31.0,DRP000042,DRP000042,Comprehensive identification and characterization of the binding sites of STAT6             in STAT6 overexpressed BEAS-2B cells,Transcriptome Analysis,"Comprehensive identification and characterization of the binding sites of             STAT6 in STAT6 overexpressed BEAS-2B cells. We used ChIP-Seq method, in which next gene             sequencing technology and chromatin-immunoprecipitation assay were             combined.",,UT-MGS,Integrateve Transcriptome Analysis,"Although recent studies have revealed that the majority of human genes             are subjected to regulation of alternative promoters (APs), the biological relevance of             this phenomenon remains unclear. In order to understand biological significance of the             presence of divergent transcription initiation events in the respective cell types, it             is indispensable to obtain bird-view of the transcriptome figures at every step of the             gene expression; namely, i) how the genomic structure change to transcriptionally active             form, ii) where the transcription initiation complex is recruited, iii) to what extent             the transcription is activated, iv) what transcripts formed and sorted to what             subcellular fractions. We have recently started multi-faceted use of the Illumina GA to             answer these questions. Integrative analysis produced for respective aspects of the gene             expression regulations revealed the comprehensive figures of the complex human gene             transcriptome for the first time.",,,,DBTSS: http://dbtss.hgc.jp/,,,,,,DRA000042,2015-03-06 04:57:16
32,32.0,DRP000043,DRP000043,Comprehensive identification and characterization of the binding sites of STAT6             in STAT6 overexpressed BEAS-2B cells,Transcriptome Analysis,"Comprehensive identification and characterization of the binding sites of             STAT6 in STAT6 overexpressed BEAS-2B cells. We used ChIP-Seq method, in which next gene             sequencing technology and chromatin-immunoprecipitation assay were             combined.",,UT-MGS,Integrateve Transcriptome Analysis,"Although recent studies have revealed that the majority of human genes             are subjected to regulation of alternative promoters (APs), the biological relevance of             this phenomenon remains unclear. In order to understand biological significance of the             presence of divergent transcription initiation events in the respective cell types, it             is indispensable to obtain bird-view of the transcriptome figures at every step of the             gene expression; namely, i) how the genomic structure change to transcriptionally active             form, ii) where the transcription initiation complex is recruited, iii) to what extent             the transcription is activated, iv) what transcripts formed and sorted to what             subcellular fractions. We have recently started multi-faceted use of the Illumina GA to             answer these questions. Integrative analysis produced for respective aspects of the gene             expression regulations revealed the comprehensive figures of the complex human gene             transcriptome for the first time.",,,,DBTSS: http://dbtss.hgc.jp/,,,,,,DRA000043,2015-03-06 04:57:16
33,33.0,DRP000044,DRP000044,Comprehensive identification and characterization of the binding sites of             polymerase II,Transcriptome Analysis,"Comprehensive identification and characterization of the binding sites of             polymerase II in mammalian genes were attempted. We used ChIP-Seq method, in which next             gene sequencing technology and chromatin-immunoprecipitation assay were             combined.",,UT-MGS,Integrateve Transcriptome Analysis,"Although recent studies have revealed that the majority of human genes             are subjected to regulation of alternative promoters (APs), the biological relevance of             this phenomenon remains unclear. In order to understand biological significance of the             presence of divergent transcription initiation events in the respective cell types, it             is indispensable to obtain bird-view of the transcriptome figures at every step of the             gene expression; namely, i) how the genomic structure change to transcriptionally active             form, ii) where the transcription initiation complex is recruited, iii) to what extent             the transcription is activated, iv) what transcripts formed and sorted to what             subcellular fractions. We have recently started multi-faceted use of the Illumina GA to             answer these questions. Integrative analysis produced for respective aspects of the gene             expression regulations revealed the comprehensive figures of the complex human gene             transcriptome for the first time.",,,,DBTSS: http://dbtss.hgc.jp/,,,,,,DRA000044,2015-03-06 04:57:16
